location_id,requested_lon,requested_lat,model_lon,model_lat,model_elevation_m,time_local,time_utc,timezone,utc_offset_seconds,generationtime_ms,request_time_utc,download_time_utc,time_mode,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,precipitation,rain,showers,precipitation_probability,weather_code,cape,boundary_layer_height,risk_wind_120m,risk_gust_10m,risk_precipitation,risk_cape,risk_visibility,weather_risk_0_1,weather_no_fly
0,105.5235,20.9915,105.51724,20.984182,21.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.6260871887207031,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1002.9,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
1,105.5335,20.9915,105.51724,20.984182,21.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.2027750015258789,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1002.9,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2,105.5435,20.9915,105.51724,20.984182,14.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.1577138900756836,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1003.7,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
3,105.5535,20.9915,105.51724,20.984182,10.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.28395652770996094,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1004.2,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
4,105.5635,20.9915,105.60852,20.984182,10.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.2281665802001953,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,30.1,77,25.6,36.3,1005.1,1004.0,100,4,1,100,19780.0,1.73,2.1,2.2,2.26,338,338,338,337,4.1,0.0,0.0,0.0,41,3,2620.0,515.0,0.0,0.0,0.0,1.0,0.0,1.0,1
5,105.5135,21.0015,105.51724,20.984182,31.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.19991397857666016,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1001.8,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
6,105.5235,21.0015,105.51724,20.984182,20.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.15401840209960938,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1003.0,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
7,105.5335,21.0015,105.51724,20.984182,13.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.18513202667236328,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1003.8,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
8,105.5435,21.0015,105.51724,20.984182,17.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.1533031463623047,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1003.4,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
9,105.5535,21.0015,105.51724,20.984182,9.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.18227100372314453,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1004.3,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
10,105.5635,21.0015,105.60852,20.984182,11.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.15246868133544922,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,30.1,77,25.6,36.3,1005.1,1003.9,100,4,1,100,19780.0,1.73,2.1,2.2,2.26,338,338,338,337,4.1,0.0,0.0,0.0,41,3,2620.0,515.0,0.0,0.0,0.0,1.0,0.0,1.0,1
11,105.5135,21.0115,105.51724,20.984182,32.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.16176700592041016,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1001.7,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
12,105.5235,21.0115,105.51724,20.984182,15.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.15592575073242188,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1003.6,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
13,105.5335,21.0115,105.51724,20.984182,17.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.2995729446411133,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1003.4,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
14,105.5435,21.0115,105.51724,20.984182,17.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.29730796813964844,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1003.4,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
15,105.5535,21.0115,105.51724,20.984182,7.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.17273426055908203,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1004.5,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
16,105.5635,21.0115,105.60852,20.984182,7.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.14960765838623047,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,30.1,77,25.6,36.3,1005.1,1004.3,100,4,1,100,19780.0,1.73,2.1,2.2,2.26,338,338,338,337,4.1,0.0,0.0,0.0,41,3,2620.0,515.0,0.0,0.0,0.0,1.0,0.0,1.0,1
17,105.5135,21.0215,105.51724,20.984182,17.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.20623207092285156,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1003.4,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
18,105.5235,21.0215,105.533,21.05448,15.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,2.3223161697387695,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.3,81,25.8,35.4,1005.3,1003.6,100,2,8,100,17420.0,2.02,2.52,2.64,2.7,314,313,313,311,4.7,0.0,0.0,0.0,41,95,2770.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,1
19,105.5335,21.0215,105.533,21.05448,14.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.20611286163330078,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.3,81,25.8,35.4,1005.3,1003.7,100,2,8,100,17420.0,2.02,2.52,2.64,2.7,314,313,313,311,4.7,0.0,0.0,0.0,41,95,2770.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,1
20,105.5435,21.0215,105.533,21.05448,12.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.16939640045166016,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.3,81,25.8,35.4,1005.3,1003.9,100,2,8,100,17420.0,2.02,2.52,2.64,2.7,314,313,313,311,4.7,0.0,0.0,0.0,41,95,2770.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,1
21,105.5535,21.0215,105.533,21.05448,13.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.3050565719604492,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.3,81,25.8,35.4,1005.3,1003.8,100,2,8,100,17420.0,2.02,2.52,2.64,2.7,314,313,313,311,4.7,0.0,0.0,0.0,41,95,2770.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,1
22,105.5635,21.0215,105.533,21.05448,9.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.3122091293334961,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.3,81,25.8,35.4,1005.3,1004.3,100,2,8,100,17420.0,2.02,2.52,2.64,2.7,314,313,313,311,4.7,0.0,0.0,0.0,41,95,2770.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,1
23,105.53959,21.006008,105.51724,20.984182,16.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.36597251892089844,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1003.5,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
24,105.5035,21.0145,105.51724,20.984182,18.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.29540061950683594,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1003.3,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
25,105.5125,20.9935,105.51724,20.984182,38.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.22745132446289062,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1001.0,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
26,105.531,20.9815,105.51724,20.984182,29.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.24998188018798828,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1002.0,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
27,105.5565,20.9845,105.51724,20.984182,17.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.33271312713623047,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.5,79,25.5,35.8,1005.3,1003.4,100,1,5,100,19760.0,1.48,1.75,1.83,1.77,332,330,330,330,3.6,0.0,0.0,0.0,41,3,2610.0,455.0,0.0,0.0,0.0,1.0,0.0,1.0,1
28,105.5735,20.9985,105.60852,20.984182,12.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.27048587799072266,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,30.1,77,25.6,36.3,1005.1,1003.7,100,4,1,100,19780.0,1.73,2.1,2.2,2.26,338,338,338,337,4.1,0.0,0.0,0.0,41,3,2620.0,515.0,0.0,0.0,0.0,1.0,0.0,1.0,1
29,105.5705,21.019,105.60852,20.984182,8.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.22351741790771484,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,30.1,77,25.6,36.3,1005.1,1004.2,100,4,1,100,19780.0,1.73,2.1,2.2,2.26,338,338,338,337,4.1,0.0,0.0,0.0,41,3,2620.0,515.0,0.0,0.0,0.0,1.0,0.0,1.0,1
30,105.548,21.0285,105.533,21.05448,13.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.16772747039794922,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.3,81,25.8,35.4,1005.3,1003.8,100,2,8,100,17420.0,2.02,2.52,2.64,2.7,314,313,313,311,4.7,0.0,0.0,0.0,41,95,2770.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,1
31,105.5205,21.027,105.533,21.05448,20.0,2026-06-26T01:00,2026-06-26T01:00,GMT,0,0.2541542053222656,2026-06-26T01:00:00Z,2026-06-26T01:39:46Z,auto_forecast,29.3,81,25.8,35.4,1005.3,1003.0,100,2,8,100,17420.0,2.02,2.52,2.64,2.7,314,313,313,311,4.7,0.0,0.0,0.0,41,95,2770.0,400.0,0.0,0.0,0.0,1.0,0.0,1.0,1
