status,source,destination,size_bytes,size_human
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/metadata/study_area_aoi.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/metadata/study_area_aoi.gpkg,98304,96.0 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/metadata/study_area_aoi.geojson,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/metadata/study_area_aoi.geojson,500,500.0 B
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/metadata/project_metadata.json,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/metadata/project_metadata.json,661,661.0 B
missing_pattern,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/metadata/*.csv,,0,0 B
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/osm/roads/osm_roads_edges.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/osm/roads/osm_roads_edges.gpkg,1601536,1.5 MB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/osm/roads/osm_roads_edges.geojson,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/osm/roads/osm_roads_edges.geojson,3159832,3.0 MB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/osm/roads/osm_roads_nodes.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/osm/roads/osm_roads_nodes.gpkg,372736,364.0 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/osm/roads/osm_road_class_summary.csv,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/osm/roads/osm_road_class_summary.csv,485,485.0 B
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/osm/extra_features/osm_extra_features.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/osm/extra_features/osm_extra_features.gpkg,319488,312.0 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/osm/extra_features/osm_extra_features.geojson,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/osm/extra_features/osm_extra_features.geojson,999579,976.2 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/osm/extra_features/osm_extra_tag_summary.csv,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/osm/extra_features/osm_extra_tag_summary.csv,1344,1.3 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/opentopography/opentopography_SRTMGL1_dem_wgs84.tif,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/opentopography/opentopography_SRTMGL1_dem_wgs84.tif,26906,26.3 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/opentopography/opentopography_SRTMGL1_dem_utm.tif,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/opentopography/opentopography_SRTMGL1_dem_utm.tif,28899,28.2 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/opentopography/terrain_products/aspect_degree.tif,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/opentopography/terrain_products/aspect_degree.tif,63783,62.3 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/opentopography/terrain_products/hillshade.tif,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/opentopography/terrain_products/hillshade.tif,71146,69.5 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/opentopography/terrain_products/roughness_3x3_m.tif,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/opentopography/terrain_products/roughness_3x3_m.tif,30512,29.8 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/opentopography/terrain_products/slope_degree.tif,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/opentopography/terrain_products/slope_degree.tif,54561,53.3 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/opentopography/terrain_products/slope_percent.tif,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/opentopography/terrain_products/slope_percent.tif,52320,51.1 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/opentopography/terrain_products/tpi_3x3_m.tif,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/opentopography/terrain_products/tpi_3x3_m.tif,51922,50.7 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/opentopography/terrain_products/terrain_statistics.csv,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/opentopography/terrain_products/terrain_statistics.csv,370,370.0 B
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/openbuildingmap/clipped/obm_buildings_hoalac_clipped.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/openbuildingmap/clipped/obm_buildings_hoalac_clipped.gpkg,8134656,7.8 MB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/openbuildingmap/clipped/obm_buildings_hoalac_clipped.geojson,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/openbuildingmap/clipped/obm_buildings_hoalac_clipped.geojson,16405037,15.6 MB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/openbuildingmap/clipped/obm_summary.csv,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/openbuildingmap/clipped/obm_summary.csv,135,135.0 B
missing_pattern,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/kml_plan/*.xyz,,0,0 B
missing_pattern,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/kml_plan/*.csv,,0,0 B
missing_pattern,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/kml_plan/*.gpkg,,0,0 B
missing_pattern,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/kml_plan/*.geojson,,0,0 B
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/metadata/hoalac_polygon.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/metadata/hoalac_polygon.gpkg,98304,96.0 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/metadata/selected_gba_5deg_tiles.csv,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/metadata/selected_gba_5deg_tiles.csv,74,74.0 B
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/metadata/selected_gba_5deg_tiles.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/metadata/selected_gba_5deg_tiles.gpkg,98304,96.0 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/metadata/gba_lod1_summary.csv,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/metadata/gba_lod1_summary.csv,355,355.0 B
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/metadata/selected_tiles_download_status.csv,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/metadata/selected_tiles_download_status.csv,244,244.0 B
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_hoalac_clipped.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_hoalac_clipped.gpkg,4599808,4.4 MB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_centroid_hoalac.xyz,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_centroid_hoalac.xyz,536196,523.6 KB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_centroid_hoalac_with_info.xyz,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_centroid_hoalac_with_info.xyz,1086927,1.0 MB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_vertices_hoalac.xyz,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_vertices_hoalac.xyz,6064830,5.8 MB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_full_attributes.csv,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_full_attributes.csv,4040364,3.9 MB
copied,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/downloaddata/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_lod1.obj,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model/output/01_HoaLac_studies_area/globalbuildingatlas_lod1/processed/gba_lod1_buildings_lod1.obj,5831106,5.6 MB
