xy_id,x_from_sw_m,y_from_sw_m,lon,lat,terrain_msl_m,building_height_input_m,building_height_reference_used,building_height_agl_m,building_base_msl_m,building_top_msl_m,_topo_voxel_top_msl_m,_display_building_base_msl_m,_display_building_top_msl_m,building_count_in_xy,building_volume_m3,_fig02_building_display_mode
6268,2925.0,3125.0,105.53091805506455,21.008906542558723,19.78868865966797,40.2683219909668,AGL,40.2683219909668,19.78868865966797,60.057010650634766,20.0,20.0,60.057010650634766,3,142852.39248784835,true_top_stacked_base_on_true_topo
6269,2925.0,3175.0,105.53091965340506,21.00935830501215,19.549802780151367,40.2683219909668,AGL,40.2683219909668,19.549802780151367,59.818124771118164,20.0,20.0,59.818124771118164,2,103005.25375539291,true_top_stacked_base_on_true_topo
6376,2975.0,3175.0,105.53140076115612,21.009356803463074,18.430116653442383,40.2683219909668,AGL,40.2683219909668,18.430116653442383,58.69843864440918,20.0,20.0,58.69843864440918,2,103005.25375539291,true_top_stacked_base_on_true_topo
6375,2975.0,3125.0,105.5313991613674,21.008905041044912,17.33043670654297,40.2683219909668,AGL,40.2683219909668,17.33043670654297,57.598758697509766,20.0,20.0,57.598758697509766,8,131925.9019418815,true_top_stacked_base_on_true_topo
6266,2925.0,3025.0,105.53091485851083,21.008003017579625,21.442970275878906,18.144725799560547,AGL,18.144725799560547,21.442970275878906,39.58769607543945,25.0,25.0,39.58769607543945,4,44453.14636893372,true_top_stacked_base_on_true_topo
6267,2925.0,3075.0,105.53091645676646,21.008454780081212,23.987031936645508,18.144725799560547,AGL,18.144725799560547,23.987031936645508,42.131757736206055,25.0,25.0,42.131757736206055,1,39847.13873245542,true_top_stacked_base_on_true_topo
6374,2975.0,3075.0,105.53139756162115,21.008453278602673,21.026655197143555,18.144725799560547,AGL,18.144725799560547,21.026655197143555,39.1713809967041,25.0,25.0,39.1713809967041,8,42450.59313568502,true_top_stacked_base_on_true_topo
6373,2975.0,3025.0,105.53139596191737,21.008001516136357,22.804311752319336,18.144725799560547,AGL,18.144725799560547,22.804311752319336,40.94903755187988,25.0,25.0,40.94903755187988,9,46811.504115705386,true_top_stacked_base_on_true_topo
3679,1725.0,2075.0,105.51933866549543,20.999455136267873,25.366744995117188,13.075963973999023,AGL,13.075963973999023,25.366744995117188,38.44270896911621,30.0,30.0,38.44270896911621,1,13091.191454864167,true_top_stacked_base_on_true_topo
3680,1725.0,2125.0,105.51934022820691,20.999906900063618,25.657194137573242,13.075963973999023,AGL,13.075963973999023,25.657194137573242,38.733158111572266,30.0,30.0,38.733158111572266,2,27323.06542785286,true_top_stacked_base_on_true_topo
3573,1675.0,2125.0,105.51885914981114,20.999908366890867,28.764307022094727,13.075963973999023,AGL,13.075963973999023,28.764307022094727,41.84027099609375,30.0,30.0,41.84027099609375,2,19042.989098607803,true_top_stacked_base_on_true_topo
3572,1675.0,2075.0,105.51885758854709,20.99945660306066,26.65566062927246,13.075963973999023,AGL,13.075963973999023,26.65566062927246,39.731624603271484,30.0,30.0,39.731624603271484,1,13091.191454864167,true_top_stacked_base_on_true_topo
10727,5025.0,1375.0,105.55106643974348,20.993030659890707,9.92703628540039,12.84410572052002,AGL,12.84410572052002,9.92703628540039,22.77114200592041,10.0,10.0,22.77114200592041,1,67334.73351499945,true_top_stacked_base_on_true_topo
10621,4975.0,1425.0,105.55058704205285,20.993483977703228,10.598721504211426,12.84410572052002,AGL,12.84410572052002,10.598721504211426,23.442827224731445,15.0,15.0,23.442827224731445,1,67334.73351499945,true_top_stacked_base_on_true_topo
10513,4925.0,1375.0,105.55010433196483,20.99303377050889,10.84907341003418,12.84410572052002,AGL,12.84410572052002,10.84907341003418,23.6931791305542,15.0,15.0,23.6931791305542,1,67334.73351499945,true_top_stacked_base_on_true_topo
10514,4925.0,1425.0,105.55010598669469,20.993485532369487,11.116636276245117,12.84410572052002,AGL,12.84410572052002,11.116636276245117,23.960741996765137,15.0,15.0,23.960741996765137,1,67334.73351499945,true_top_stacked_base_on_true_topo
10620,4975.0,1375.0,105.55058538587616,20.993032215879172,10.066849708557129,12.84410572052002,AGL,12.84410572052002,10.066849708557129,22.91095542907715,15.0,15.0,22.91095542907715,1,67334.73351499945,true_top_stacked_base_on_true_topo
10728,5025.0,1425.0,105.55106809736704,20.99348242167819,10.168730735778809,12.84410572052002,AGL,12.84410572052002,10.168730735778809,23.012836456298828,15.0,15.0,23.012836456298828,1,67334.73351499945,true_top_stacked_base_on_true_topo
9244,4325.0,2125.0,105.54435624669347,20.999828752004202,16.325288772583008,11.939249038696289,AGL,11.939249038696289,16.325288772583008,28.264537811279297,20.0,20.0,28.264537811279297,1,276915.9309967788,true_top_stacked_base_on_true_topo
9240,4325.0,1925.0,105.54434969504796,20.998021704021593,16.952184677124023,11.939249038696289,AGL,11.939249038696289,16.952184677124023,28.891433715820312,20.0,20.0,28.891433715820312,1,276915.9309967788,true_top_stacked_base_on_true_topo
9241,4325.0,1975.0,105.54435133289408,20.99847346605336,14.95055103302002,11.939249038696289,AGL,11.939249038696289,14.95055103302002,26.88980007171631,15.0,15.0,26.88980007171631,1,276915.9309967788,true_top_stacked_base_on_true_topo
9136,4275.0,2075.0,105.54387353397765,20.999378527516413,11.253369331359863,11.939249038696289,AGL,11.939249038696289,11.253369331359863,23.192618370056152,15.0,15.0,23.192618370056152,1,276915.9309967788,true_top_stacked_base_on_true_topo
9027,4225.0,1975.0,105.54338918916157,20.998476539493222,13.103049278259277,11.939249038696289,AGL,11.939249038696289,13.103049278259277,25.042298316955566,15.0,15.0,25.042298316955566,1,276915.9309967788,true_top_stacked_base_on_true_topo
9243,4325.0,2075.0,105.54435460871683,20.999376990044663,12.024744987487793,11.939249038696289,AGL,11.939249038696289,12.024744987487793,23.963994026184082,15.0,15.0,23.963994026184082,1,276915.9309967788,true_top_stacked_base_on_true_topo
9029,4225.0,2075.0,105.54339245919499,20.999380063628962,18.238882064819336,11.939249038696289,AGL,11.939249038696289,18.238882064819336,30.178131103515625,20.0,20.0,30.178131103515625,1,276915.9309967788,true_top_stacked_base_on_true_topo
9133,4275.0,1925.0,105.54386862465071,20.99802324138496,19.556472778320312,11.939249038696289,AGL,11.939249038696289,19.556472778320312,31.4957218170166,20.0,20.0,31.4957218170166,1,276915.9309967788,true_top_stacked_base_on_true_topo
9242,4325.0,2025.0,105.5443529707837,20.998925228061054,13.869524002075195,11.939249038696289,AGL,11.939249038696289,13.869524002075195,25.808773040771484,15.0,15.0,25.808773040771484,1,276915.9309967788,true_top_stacked_base_on_true_topo
9351,4375.0,2125.0,105.54483732283654,20.999827213137102,17.215961456298828,11.939249038696289,AGL,11.939249038696289,17.215961456298828,29.155210494995117,20.0,20.0,29.155210494995117,1,276915.9309967788,true_top_stacked_base_on_true_topo
9350,4375.0,2075.0,105.54483568341253,20.999375451213716,15.122424125671387,11.939249038696289,AGL,11.939249038696289,15.122424125671387,27.061673164367676,20.0,20.0,27.061673164367676,1,276915.9309967788,true_top_stacked_base_on_true_topo
9455,4425.0,1975.0,105.54531347645258,20.998470387176962,17.489620208740234,11.939249038696289,AGL,11.939249038696289,17.489620208740234,29.428869247436523,20.0,20.0,29.428869247436523,2,276978.33664787456,true_top_stacked_base_on_true_topo
9457,4425.0,2075.0,105.54531675806466,20.99937391102358,10.022833824157715,11.939249038696289,AGL,11.939249038696289,10.022833824157715,21.962082862854004,15.0,15.0,21.962082862854004,2,425607.60714846774,true_top_stacked_base_on_true_topo
9456,4425.0,2025.0,105.54531511723684,20.998922149112307,11.204264640808105,11.939249038696289,AGL,11.939249038696289,11.204264640808105,23.143513679504395,15.0,15.0,23.143513679504395,2,425607.60714846774,true_top_stacked_base_on_true_topo
9349,4375.0,2025.0,105.54483404403203,20.998923689266263,10.03542423248291,11.939249038696289,AGL,11.939249038696289,10.03542423248291,21.9746732711792,15.0,15.0,21.9746732711792,1,276915.9309967788,true_top_stacked_base_on_true_topo
9348,4375.0,1975.0,105.5448324046951,20.998471927294727,14.46241283416748,11.939249038696289,AGL,11.939249038696289,14.46241283416748,26.40166187286377,15.0,15.0,26.40166187286377,1,276915.9309967788,true_top_stacked_base_on_true_topo
9135,4275.0,2025.0,105.54387189749187,20.998926765496673,12.819809913635254,11.939249038696289,AGL,11.939249038696289,12.819809913635254,24.759058952331543,15.0,15.0,24.759058952331543,1,276915.9309967788,true_top_stacked_base_on_true_topo
9028,4225.0,2025.0,105.54339082415657,20.99892830157313,14.667830467224121,11.939249038696289,AGL,11.939249038696289,14.667830467224121,26.60707950592041,15.0,15.0,26.60707950592041,1,276915.9309967788,true_top_stacked_base_on_true_topo
9134,4275.0,1975.0,105.54387026104956,20.99847500345285,14.029930114746094,11.939249038696289,AGL,11.939249038696289,14.029930114746094,25.969179153442383,15.0,15.0,25.969179153442383,1,276915.9309967788,true_top_stacked_base_on_true_topo
3574,1675.0,2175.0,105.51886071111666,21.00036013069701,29.33772087097168,11.80447006225586,AGL,11.80447006225586,29.33772087097168,41.14219093322754,30.0,30.0,41.14219093322754,3,15500.073733926372,true_top_stacked_base_on_true_topo
3467,1625.0,2175.0,105.51837963123198,21.000361596199436,26.120058059692383,11.80447006225586,AGL,11.80447006225586,26.120058059692383,37.92452812194824,30.0,30.0,37.92452812194824,6,15175.67624739198,true_top_stacked_base_on_true_topo
15016,7025.0,1825.0,105.57032399903296,20.997033148007816,15.663564682006836,10.515727996826172,AGL,10.515727996826172,15.663564682006836,26.179292678833008,20.0,20.0,26.179292678833008,22,8283.257476069257,true_top_stacked_base_on_true_topo
15015,7025.0,1775.0,105.57032228317152,20.996581387901994,18.42733383178711,10.515727996826172,AGL,10.515727996826172,18.42733383178711,28.94306182861328,20.0,20.0,28.94306182861328,8,7944.450330543046,true_top_stacked_base_on_true_topo
6973,3275.0,925.0,105.5342150675309,20.989018442512258,15.898735046386719,10.389019012451172,AGL,10.389019012451172,15.898735046386719,26.28775405883789,20.0,20.0,26.28775405883789,8,25191.393399817644,true_top_stacked_base_on_true_topo
6866,3225.0,925.0,105.53373402516674,20.989019950625327,17.66598892211914,10.389019012451172,AGL,10.389019012451172,17.66598892211914,28.055007934570312,20.0,20.0,28.055007934570312,2,24088.818801962265,true_top_stacked_base_on_true_topo
6760,3175.0,975.0,105.53325458646631,20.9894732207158,20.194400787353516,10.389019012451172,AGL,10.389019012451172,20.194400787353516,30.583419799804688,25.0,25.0,30.583419799804688,4,36336.23233978317,true_top_stacked_base_on_true_topo
6974,3275.0,975.0,105.53421667413032,20.989470205777273,20.267709732055664,10.389019012451172,AGL,10.389019012451172,20.267709732055664,30.656728744506836,25.0,25.0,30.656728744506836,6,31441.117593090486,true_top_stacked_base_on_true_topo
6867,3225.0,975.0,105.53373563031964,20.98947171392579,19.744338989257812,10.389019012451172,AGL,10.389019012451172,19.744338989257812,30.133358001708984,20.0,20.0,30.133358001708984,7,36329.52122334227,true_top_stacked_base_on_true_topo
6759,3175.0,925.0,105.53325298275992,20.989021457379923,18.258399963378906,10.389019012451172,AGL,10.389019012451172,18.258399963378906,28.647418975830078,20.0,20.0,28.647418975830078,4,35531.79533606594,true_top_stacked_base_on_true_topo
4056,1875.0,4875.0,105.52086971521001,21.024749457421585,25.463947296142578,10.360392570495605,AGL,10.360392570495605,25.463947296142578,35.824339866638184,30.0,30.0,35.824339866638184,10,4212.276783207487,true_top_stacked_base_on_true_topo
4163,1925.0,4875.0,105.52135087310683,21.024747983254386,26.238889694213867,9.989797592163086,AGL,9.989797592163086,26.238889694213867,36.22868728637695,30.0,30.0,36.22868728637695,6,2855.492085693286,true_top_stacked_base_on_true_topo
13741,6425.0,2275.0,105.5645665033428,21.001118230391437,11.631231307983398,9.876455307006836,AGL,9.876455307006836,11.631231307983398,21.507686614990234,15.0,15.0,21.507686614990234,2,1517.604984096509,true_top_stacked_base_on_true_topo
